fund_code,asset_type,listed,asset_name,acq_date,book_value,eval_status,eval_amount,last_eval_date
100150,대여금,비시장성,을지로부림빌딩오피스개발사업중순위PF대출,,70255068493,대체평가,,
100150,대여금,비시장성,(100150)이지스353호OPUS459 tr.b_250630,,43511876712,대체평가,,
100150,대여금,비시장성,안성 당목 물류센터_선순위(240318),,29533333150,대체평가,,
100150,대여금,비시장성,크레센도빌딩 담보대출(중순위)_250418,,24213041095,대체평가,,
100150,대여금,비시장성,을지로3-9지구선순위PF대출_241129,,23400000000,대체평가,,
100150,대여금,비시장성,분당 퍼스트타워 중순위 담보대출_241029,,20153041095,대체평가,,
100150,대여금,비시장성,당산SK오피스개발사업PF대출(중순위)241227,,15225780821,대체평가,,
100150,대여금,비시장성,지오앤에스피에프브이,,12381106849,대체평가,,
100181,대여금,비시장성,이지스330호,,39291698630,대체평가,,
121158,주식,비시장성,스파크플러스(우),2019-11-05,10699897254,외부평가 대상,,
121235,주식,비시장성,애니원(CB전환),2024-04-11,2499992000,외부평가 대상,,
121235,주식,비시장성,아토스터티RCPS,2023-06-28,500000000,외부평가 대상,,
121235,주식,시장성,NH올원리츠,2025-12-10,268012785,시가평가,,
121235,주식,시장성,신한서부티엔디리츠,2025-12-02,73123985,시가평가,,
121235,주식,시장성,코람코더원리츠,2025-11-20,68674580,시가평가,,
121235,주식,시장성,한화리츠,2025-03-12,60675000,시가평가,,
121235,주식,시장성,카나프테라퓨틱스,2026-03-16,2908800,시가평가,,
121235,주식,시장성,메리츠제2호기업인수목적(공모주),2026-06-12,1478640,시가평가,,
121235,주식,시장성,마키나락스,2026-05-20,424200,시가평가,,
121295,주식,시장성,메리츠제2호기업인수목적(공모주),2026-06-12,7166960,시가평가,,
121295,주식,시장성,아이엠바이오로직스,2026-03-20,1943240,시가평가,,
121295,주식,시장성,마키나락스,2026-05-20,1060500,시가평가,,
121295,주식,시장성,메쥬,2026-03-26,785376,시가평가,,
121295,주식,시장성,카나프테라퓨틱스,2026-03-16,646400,시가평가,,
121295,채권,시장성,산금24신이0203-0718-1,2026-04-03,10062235061,시가평가,,
121295,채권,시장성,기업은행(단)2511할242A-20,2026-04-03,9975014269,시가평가,,
121295,채권,시장성,JB금융지주30,2026-02-26,502876894,시가평가,,
121335,주식,시장성,메쥬,2026-03-26,33182136,시가평가,,
121335,주식,시장성,아이엠바이오로직스,2026-03-20,27415440,시가평가,,
121335,주식,시장성,카나프테라퓨틱스,2026-03-16,17493200,시가평가,,
121335,주식,시장성,메리츠제2호기업인수목적(공모주),2026-06-12,10366640,시가평가,,
