no,fund_code,fund_name,team,eval_status,alt_reason,alt_method,prev_dt,apply_end,impair,remark
1,100150,코람코Debt일반사모1호,크레딧본부 크레딧팀,대체평가,"전문투자자 사모 (§8-16조①), 대출채권 (§8-16조④)",직전 장부가액,2025-12-17,2026-09-18,정상,
2,100181,코람코Debt일반사모2호,크레딧본부 크레딧팀,대체평가,"전문투자자 사모 (§8-16조①), 대출채권 (§8-16조④)",직전 장부가액,2025-12-17,2026-09-18,정상,
3,121158,코람코다움기업투자6호,증권부문 멀티에셋본부 멀티에셋,외부평가 대상,-,외부 전문기관,,,정상,
4,121235,코람코멀티블라인드일사28,증권부문 멀티에셋본부 멀티에셋,외부평가 대상,-,외부 전문기관,,,정상,
5,121295,코람코IPO인컴플러스일사41호,증권부문 멀티에셋본부 멀티에셋,시가평가,,,,,정상,
6,121335,코람코코스닥벤처일사46호,증권부문 멀티에셋본부 멀티에셋,시가평가,,,,,정상,
7,121344,코람코코스닥벤처일사47호,증권부문 멀티에셋본부 멀티에셋,시가평가,,,,,정상,
8,134317,코람코하이일드일사45호채혼,증권부문 멀티에셋본부 멀티에셋,시가평가,,,,,정상,
9,141142,코람코일반사모부동산93호,공공사업본부 공공사업팀,대체평가,전문투자자 사모 (§8-16조①),직전 장부가액,2025-12-17,2026-09-18,정상,
10,141198,코람코이천백사물류투자신탁,운용본부 자산운용2팀,대체평가,전문투자자 사모 (§8-16조①),직전 장부가액,2025-12-17,2026-09-18,정상,
11,141199,코람코일반사모부동산120호,운용본부 자산운용2팀,대체평가,전문투자자 사모 (§8-16조①),직전 장부가액,2025-12-17,2026-09-18,정상,
12,141213,코람코일반사모부동126호(운용),운용본부 자산운용2팀,외부평가 대상,-,외부 전문기관,2025-09-02,2026-09-02,정상,
13,141285,코람코국내개발일사모1-2호,개발본부 개발2팀,대체평가,"전문투자자 사모 (§8-16조①), 대출채권 (§8-16조④)",직전 장부가액,2025-12-17,2026-09-18,정상,
14,141319,코람코수서일사부동산166(운용),구조화본부 구조화사업2팀,대체평가,"전문투자자 사모 (§8-16조①), 대출채권 (§8-16조④)",직전 장부가액,2025-12-17,2026-09-18,정상,
15,142008,코람코퍼스텝일반사모부동산8호,운용본부 자산운용1팀,대체평가,전문투자자 사모 (§8-16조①),직전 장부가액,2025-12-17,2026-09-18,정상,
16,142043,코람코유럽코어부동산1호,해외부문 해외사업본부 유럽팀,대체평가,전문투자자 사모 (§8-16조①),직전 장부가액,2025-12-17,2026-09-18,정상,
17,142078,코람코일반사모부동산63호,운용본부 자산운용1팀,외부평가 대상,-,외부 전문기관,2025-03-20,2026-03-20,정상,
18,142116,코람코일반사모부동산85호,운용본부 자산운용1팀,외부평가 대상,-,외부 전문기관,2025-12-31,2026-12-31,정상,
19,142117,코람코일반사모부동산82호(운용),운용본부 자산운용1팀,외부평가 대상,-,외부 전문기관,2025-12-31,2026-12-31,정상,
20,142120,코람코일반사모부동산제84호,운용본부 자산운용1팀,외부평가 대상,-,외부 전문기관,2025-12-31,2026-12-31,정상,
21,142168,코람코일반사모부동산107호,운용본부 자산운용1팀,외부평가 대상,-,외부 전문기관,2025-12-31,2026-12-31,정상,
22,142169,코람코일반사모부동산108호,운용본부 자산운용1팀,외부평가 대상,-,외부 전문기관,2025-12-31,2026-12-31,정상,
23,142182,코람코일반사모114호(운용),운용본부 자산운용2팀,대체평가,부실자산 (§8-16조⑪),직전 장부가액,2025-12-17,2026-09-18,정상,
24,142197,코람코일반사모부동산117호,공공사업본부 공공사업팀,대체평가,매도가격 확정 (§8-16조⑧),직전 장부가액,2025-12-17,2026-09-18,정상,
25,142201,코람코일반사모125호(운용),운용본부 자산운용1팀,대체평가,전문투자자 사모 (§8-16조①),직전 장부가액,2025-12-17,2026-09-18,정상,
26,142208,코람코일반사모부동산127호,IDC1본부 데이터센터1팀,외부평가 대상,-,외부 전문기관,2025-12-17,2026-12-17,정상,
27,142282,코람코일반사모150호(운용),운용본부 자산운용1팀,대체평가,전문투자자 사모 (§8-16조①),직전 장부가액,2025-12-17,2026-09-18,정상,
28,142289,코람코일사부동산155호(운용),운용본부 자산운용2팀,외부평가 대상,-,외부 전문기관,2026-01-07,2027-01-07,정상,
29,142308,코람코일사부동산160호(운용),운용본부 자산운용1팀,대체평가,전문투자자 사모 (§8-16조①),직전 장부가액,2025-12-17,2026-09-18,정상,
30,143005,코람코퍼스텝일반사모부동산5호,공공사업본부 공공사업팀,대체평가,"전문투자자 사모 (§8-16조①), 대출채권 (§8-16조④)",직전 장부가액,2025-12-17,2026-09-18,정상,
31,143121,코람코전문사모부동산86호,운용본부 자산운용1팀,대체평가,"부실자산 (§8-16조⑪), 대출채권 (§8-16조④)",직전 장부가액,2025-12-17,2026-09-18,정상,
32,143127,코람코전문사모부동산88호,운용본부 자산운용1팀,대체평가,"부실자산 (§8-16조⑪), 대출채권 (§8-16조④)",직전 장부가액,2025-12-17,2026-09-18,정상,
33,143316,코람코일사부동산투자신탁164호,크레딧본부 크레딧팀,대체평가,"전문투자자 사모 (§8-16조①), 대출채권 (§8-16조④)",직전 장부가액,2025-12-17,2026-09-18,정상,
34,143342,코람코일반사모부동산174,크레딧본부 크레딧팀,대체평가,"전문투자자 사모 (§8-16조①), 대출채권 (§8-16조④)",직전 장부가액,2025-12-17,2026-09-18,정상,
35,143343,코람코일반사모부동산175,크레딧본부 크레딧팀,대체평가,"전문투자자 사모 (§8-16조①), 대출채권 (§8-16조④)",직전 장부가액,2025-12-17,2026-09-18,정상,
36,144186,코람코공모상장예정리츠13호,증권부문 멀티에셋본부 멀티에셋,시가평가,,,,,정상,
37,144225,코람코공모상장예정리츠19,증권부문 멀티에셋본부 멀티에셋,시가평가,,,,,정상,
38,144228,코람코상장리츠일반사모24,증권부문 멀티에셋본부 멀티에셋,외부평가 대상,-,외부 전문기관,,,정상,
39,144230,코람코일반사모부동산131호,운용본부 자산운용2팀,대체평가,전문투자자 사모 (§8-16조①),직전 장부가액,2025-12-17,2026-09-18,정상,
40,144231,코람코공모상장예정리츠23호,증권부문 멀티에셋본부 멀티에셋,시가평가,,,,,정상,
41,144236,코람코멀티블라인드전사27,증권부문 멀티에셋본부 멀티에셋,외부평가 대상,-,외부 전문기관,,,정상,
42,144336,코람코글로벌리츠SMA일사1호,증권부문 멀티에셋본부 멀티에셋,시가평가,,,,,정상,
43,149048,코람코NPL일반사모부동산1호(재,해외부문 해외사업본부 유럽팀,현지NAV반영,,,,,정상,
44,149066,코람코글로벌일반사모부동산7호,해외부문 해외사업본부 미주/아,현지NAV반영,,,,,정상,
45,149081,코람코글로벌일반사모부동산9-2,해외부문 해외사업본부 미주/아,현지NAV반영,,,,,정상,
46,149082,코람코글로벌일반사모부동산9-1,해외부문 해외사업본부 미주/아,현지NAV반영,,,,,정상,
47,149083,코람코유럽코어부동산2-1호,해외부문 해외사업본부 유럽팀,대체평가,전문투자자 사모 (§8-16조①),직전 장부가액,2025-12-17,2026-09-18,정상,
48,149084,코람코유럽코어부동산2-2호,해외부문 해외사업본부 유럽팀,대체평가,전문투자자 사모 (§8-16조①),직전 장부가액,2025-12-17,2026-09-18,정상,
49,149085,코람코유럽코어부동산2-3호,해외부문 해외사업본부 유럽팀,대체평가,전문투자자 사모 (§8-16조①),직전 장부가액,2025-12-17,2026-09-18,정상,
50,149086,코람코USDebtStrategy4-1호(재간,해외부문 해외사업본부 미주/아,현지NAV반영,,,,,정상,
51,149087,코람코USDebtStrategy4-2호(재간,해외부문 해외사업본부 미주/아,현지NAV반영,,,,,정상,
52,149094,코람코USDebtStrategy4-3호(재간,해외부문 해외사업본부 미주/아,현지NAV반영,,,,,정상,
